Company_Name,Ticker,Current_Price,Market_Cap,Enterprise_Value,PER,Forward_PER,PEG_Ratio,PBV,PS_Ratio,PC_Ratio,EV_EBITDA,EV_Revenue,Gross_Margin,Operating_Margin,Net_Profit_Margin,ROA,ROE,ROIC,Revenue_Growth_YoY,Earnings_Growth_YoY,Current_Ratio,Quick_Ratio,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Dividend_Yield,Dividend_Rate,Payout_Ratio,Beta,52_Week_High,52_Week_Low,Avg_Volume,Shares_Outstanding,Float_Shares,EPS_TTM,Book_Value_Per_Share,Revenue_Per_Share,Free_Cash_Flow_Per_Share,EBITDA,Total_Revenue,Net_Income,Total_Debt,Total_Cash,Free_Cash_Flow,Operating_Cash_Flow,Sector,Industry,Detailed_Industry,analyst_target,analyst_recommendation,short_interest,institutional_ownership
PT Unilever Indonesia Tbk,UNVR.JK,1835.0,69695562579968,53240360075264,18.9312,17.2722,2.51,15.5741,2.1818,,10.531,1.667,46.9489,14.3755,23.9209,38.1727,,63.3959,,,0.741,0.524,14.409,3.2214,38.8535,873.0,134.0,1.4409,0.366,2840.0,1305.0,25084994,37981233300,5557034244.0,96.93,117.824,838.697,156.983,5055656230912.0,31943460651008,3537296949248,644841013248,5705674260480,5962408656896.0,5797495963648,Consumer Defensive,Household & Personal Products,Consumer Goods & Retail,2220.5557,buy,,0.03565
PT XLSMART Telecom Sejahtera Tbk,EXCL.JK,3180.0,57875565117440,116936935473152,18.941,18.941,2.2,1.9399,1.3635,,10.668,2.755,59.3908,-0.5493,-10.4288,-3.8386,,-0.2234,0.318,,0.472,0.253,209.363,54.4813,-0.0591,511.0,159.0,0.3827,-0.111,4550.0,2120.0,24083153,18199862451,6040170350.0,-275.86,1639.255,2646.602,521.6147,10961173872640.0,42445958021120,-4426618109952,62827016486912,2666146037760,9493315321856.0,17501452763136,Communication Services,Telecom Services,Consumer Goods & Retail,3163.75,buy,,0.02953
PT Astra Agro Lestari Tbk,AALI.JK,8475.0,16311734239232,13435757658112,10.4058,13.9094,1.3,0.6925,0.5693,,3.66,0.469,16.1629,9.0728,5.136,5.4413,,8.3037,0.182,0.159,4.331,1.997,,,18.8955,565.0,458.0,0.3768,0.215,9000.0,5600.0,1286450,1924688333,391000435.0,814.45,12238.936,14887.942,911.7495,3671146102784.0,28654648164352,1471714033664,0,2755714875392,1754833616896.0,4210589958144,Consumer Defensive,Farm Products,Energy & Mining,8415.0,hold,,0.025339998
PT Indo Tambangraya Megah Tbk,ITMG.JK,25825.0,29024384450560,29417036316672,8.7158,6.2755,0.25,15290.112,15429.418,,98419.3,15638.151,25.6677,14.1771,10.1504,7.9358,,10.349,-0.209,-0.403,3.761,2.84,4.647,3.6859,29.5333,661.0,1730.0,1.0505,-0.622,30700.0,20900.0,3920581,1123887100,386448579.0,2963.01,1.689,1.665,0.1182,298895008.0,1881106944,190940000,88685000,807945984,132897504.0,285480000,Energy,Thermal Coal,Energy & Mining,28651.46,buy,,0.080369994
PT United Tractors Tbk,UNTR.JK,29400.0,103691055005696,115575984488448,8.6878,5.9159,0.43,1.0743,0.8256,,3.91,0.92,22.6225,16.8051,11.2798,8.3375,,14.1871,-0.167,-0.794,1.16,0.767,25.751,10.6493,16.9758,747.0,2192.0,0.6059,-0.208,32825.0,20900.0,4099216,3526906636,1352420849.0,3384.06,27366.648,34821.902,1344.805,29559042867200.0,125594113146880,12265761800192,26069287567360,20562638274560,4743001800704.0,18823956660224,Basic Materials,Other Industrial Metals & Mining,Energy & Mining,33484.21,buy,,0.13726
PT Alamtri Resources Indonesia Tbk,ADRO.JK,2520.0,72577246560256,72864849985536,8.4267,4.8803,0.85,16153.846,36976.12,,88382.49,37122.645,33.9806,28.2615,23.8958,6.5673,,7.1119,0.234,0.749,4.321,3.945,19.536,12.0473,44.8186,935.0,236.52,1.1035,,2700.0,1625.0,88976042,28800494200,11630215568.0,299.05,0.156,0.068,-0.0008,824426240.0,1962813952,499134016,1059564992,1987622016,-22467000.0,708364992,Energy,Thermal Coal,Financial Services,2700.2104,buy,,0.100880004
PT Astra Graphia Tbk,ASGR.JK,1615.0,2178280587264,321670905856,7.4342,,,1.0412,0.7191,,0.673,0.106,24.228,9.3322,9.0484,8.6768,,10.4232,0.053,0.475,3.118,2.837,1.294,0.7754,100.5067,1511.0,241.0,0.3683,0.404,1940.0,835.0,2181575,1348780500,312026881.0,217.24,1551.117,2245.615,291.8458,477692985344.0,3029333966848,292977999872,27968999424,1857607958528,393635987456.0,425415999488,Industrials,Specialty Business Services,Financial Services,,none,,0.01512
PT Bukalapak.com Tbk.,BUKA.JK,148.0,13639725613056,-5690244464640,5.7077,34.1014,,0.6034,2.0952,,2.117,-0.874,7.9766,-2.69,48.2648,12.0705,,-0.5507,0.681,,37.072,36.373,0.446,0.4338,-9.3103,,,0.0,0.307,198.0,120.0,139297366,92160315160,54332549434.0,25.93,245.288,66.119,-21.5219,-2687712886784.0,6510030618624,3142054838272,112910934016,21184628391936,-1983466700800.0,302411055104,Consumer Cyclical,Internet Retail,Financial Services,207.4,buy,,0.072919995
PT Elang Mahkota Teknologi Tbk,EMTK.JK,795.0,48640089391104,40498597199872,17.2339,121.0046,,1.2855,2.544,,24.601,2.118,26.4413,4.66,35.5094,11.1721,,1.2943,0.525,-0.657,6.079,5.475,4.01,3.523,6.3739,461.0,38.0,0.3416,0.38,1700.0,464.0,41297859,61182504933,17412540904.0,46.13,618.434,313.279,-4.7199,1646196031488.0,19119724298240,6789292097536,2140948004864,27672035983360,-288773636096.0,2143677054976,Communication Services,Broadcasting,Financial Services,,none,,0.03737
PT Medikaloka Hermina Tbk,HEAL.JK,1020.0,15625415032832,21701658148864,38.2739,20.7107,3.63,2.761,2.1904,,12.281,3.042,33.8451,13.1962,6.0215,3.6136,,7.5703,0.092,0.051,1.221,1.105,44.736,27.1334,3.948,117.0,13.5,0.3697,-0.003,1775.0,1015.0,9822218,15319034300,8190512329.0,26.65,369.428,471.66,-50.7443,1767031046144.0,7133538025472,429546995712,3225366036480,727793008640,-777353887744.0,1137837998080,Healthcare,Medical Care Facilities,Financial Services,1694.5834,strong_buy,,0.08449
